year,city,avg_temp,7_Mov_Avg,10_Mov_Avg,20_Mov_Avg
1873,Lagos,26.46,,,
1874,Lagos,26.08,,,
1875,Lagos,25.82,,,
1876,Lagos,25.82,,,
1877,Lagos,26.35,,,
1878,Lagos,26.26,,,
1879,Lagos,25.67,26.07,,
1880,Lagos,26.14,26.02,,
1881,Lagos,26.39,26.06,,
1882,Lagos,26.01,26.09,26.10,
1883,Lagos,26.42,26.18,26.10,
1884,Lagos,26.43,26.19,26.13,
1885,Lagos,26.01,26.15,26.15,
1886,Lagos,25.87,26.18,26.16,
1887,Lagos,25.09,26.03,26.03,
1888,Lagos,25.42,25.89,25.95,
1889,Lagos,25.34,25.80,25.91,
1890,Lagos,24.86,25.57,25.78,
1891,Lagos,25.29,25.41,25.67,
1892,Lagos,25.49,25.34,25.62,25.86
1893,Lagos,25.67,25.31,25.55,25.82
1894,Lagos,25.59,25.38,25.46,25.80
1895,Lagos,25.92,25.45,25.45,25.80
1896,Lagos,25.87,25.53,25.45,25.80
1897,Lagos,26.29,25.73,25.57,25.80
1898,Lagos,25.79,25.80,25.61,25.78
1899,Lagos,26.31,25.92,25.71,25.81
1900,Lagos,26.42,26.03,25.86,25.82
1901,Lagos,26.53,26.16,25.99,25.83
1902,Lagos,26.09,26.19,26.05,25.84
1903,Lagos,25.68,26.16,26.05,25.80
1904,Lagos,25.48,26.04,26.04,25.75
1905,Lagos,26.16,26.10,26.06,25.76
1906,Lagos,26.21,26.08,26.10,25.78
1907,Lagos,25.96,26.02,26.06,25.82
1908,Lagos,26.15,25.96,26.10,25.86
1909,Lagos,26.08,25.96,26.08,25.89
1910,Lagos,26.13,26.02,26.05,25.96
1911,Lagos,25.72,26.06,25.97,25.98
1912,Lagos,26.17,26.06,25.97,26.01
1913,Lagos,26.65,26.12,26.07,26.06
1914,Lagos,26.75,26.24,26.20,26.12
1915,Lagos,26.81,26.33,26.26,26.16
1916,Lagos,26.6,26.40,26.30,26.20
1917,Lagos,26.96,26.52,26.40,26.23
1918,Lagos,26.41,26.62,26.43,26.26
